X,Y,OBJECTID,ID,TOWN,AIRPORT_NAME,OWNER_TYPE,FACILITY_TYPE,CLASS,RUNWAY,LATITUDE,LONGITUDE,ELEVATION,P_LENGTH,S_LENGTH,P_WIDTH,S_WIDTH,P_SURFACETYPE,S_SURFACETYPE,P_RUNWAYLIGHTS,S_RUNWAYLIGHTS,CONTROLTOWER,RESTAURANT,RENTALCAR,SERVICELEVEL,AIRSERVICE,GlobalID,created_user,created_date,last_edited_user,last_edited_date
114922.679899998,883561.1252,1,CEF,CHICOPEE,WESTOVER METROPOLITAN,MAC,PUBLIC OWNED AP,GU-1,2,42 11 52,72 31 50,245,11600,7050,300,150,ASPHALT,ASPHALT,HIRLS,HIRLS,MILITARY,N, ,GENERAL AVIATION,Y,{989C108E-15C8-4434-A981-886AF6957B3D},,,,
253897.593599997,949687.3123,2,2B2,NEWBURYPORT,PLUM ISLAND-NEWBURYPORT,MAC,PRIVATE OWNED AP,LU,1,42 47 45,70 50 30,11,2105,0,50,0, , , , ,N,UNKNOWN, ,GENERAL AVIATION,N,{EE5484E4-C820-4E65-9A03-33594EA1644F},,,,
99539.5938000008,879320.1877,3,BAF,WESTFIELD,WESTFIELD-BARNES MUNICIPAL,MAC,PUBLIC OWNED AP,TRAN,2,42 09 28,72 42 58,271,9000,5000,150,100,ASPHALT,ASPHALT,HIRLS,MIRLS,CONTRACT,Y,Y,GENERAL AVIATION,Y,{9A238EF5-1886-4195-B2AC-D2A4442EEF7A},,,,
241135.669500001,956849.283500001,4,6MA2,AMESBURY,MEADOWBROOK,Private,PRIVATE OWNED AP,,1,41 51 36,70 59 48,117,2000,0,75,0,TURF,,,,N,N,N,PRIVATE USE,,{4F8C3428-5B1B-4D4A-8C6F-E94F901EE7FB},,,,
249339.207900003,797128.432399999,5,15MA,GOSNOLD,CANAPITSIT,Private,PRIVATE OWNED AP,,1,41 25 20,70 54 34,10,700,0,20,0,TURF,,,,N,,,PRIVATE USE,,{284CB78E-320A-437C-A9C9-76BD94BFCD38},,,,
229460.324600004,951133.820300002,6,04MA,HAVERHILL,GODDARD,Private,PRIVATE OWNED AP,,1,42 48 35,71 08 21,200,2100,0,300,0,TURF,,,,N,,,PRIVATE USE,,{39E07C8E-5745-42F1-9ABA-8F2821BA8B35},,,,
146880.894100003,882075.281199999,7,5MA3,WEST BROOKFIELD,PASPORT,Private,PRIVATE OWNED AP,,1,42 11 15,72 08 35,1010,1800,0,60,0,TURF,,,,N,,,PRIVATE USE,,{129C6838-4A34-43D3-A693-8A1E430F1A1A},,,,
240214.3587,901970.903900001,8,BOS,BOSTON,LOGAN INTERNATIONAL AIRPORT,MassPort,PUBLIC OWNED AP,TRAN,5,42 21 51,71 00 21,20,10081,10005,150,150,ASPHALT-GROOVED,ASPHALT-GROOVED,YES,HIRLS,FAA,Y, ,COMMERCIAL SERVICE PRIMARY,Y,{052EC038-1F48-4102-9646-1811E4C16F6F},,,,
320468.182800002,779468.4628,9,ACK,NANTUCKET,NANTUCKET MEMORIAL,MAC,PUBLIC OWNED AP,TRAN,3,41 15 11,70 03 39,48,6303,4000,150,100,ASPHALT-GROOVED,ASPHALT,HIRLS,MIRLS,FAA,Y,N,COMMERCIAL SERVICE PRIMARY,Y,{D95FF3BF-E0E7-42F6-ADC3-241950F479D9},,,,
325688.958300002,827578.9023,10,86,CHATHAM,CHATHAM MUNICIPAL,MAC,PUBLIC OWNED AP,BU-1,1,41 41 15,69 59 15,68,3001,0,100,0,ASPHALT, ,MIRLS, ,N,Y, ,GENERAL AVIATION,N,{5C4B8009-F3DF-4ED3-AD56-D6BA1FCB492A},,,,
226791.812299997,882243.693399999,11,OWD,NORWOOD,NORWOOD MEMORIAL,MAC,PUBLIC OWNED AP,GU-2,2,42 11 27,71 10 25,50,4007,4001,150,75,ASPHALT-GROOVED,ASPHALT,MIRLS,MIRLS,CONTRACT,Y,N,RELIEVER GA,N,{45B1F9EF-05D1-41D6-A8A8-A06715F437C0},,,,
245131.175099999,825133.770500001,12,EWB,NEW BEDFORD,NEW BEDFORD REGIONAL,MAC,PUBLIC OWNED AP,TRAN,2,41 40 35,70 57 30,80,4997,5000,150,150, , , , ,CONTRACT,Y, ,COMMERCIAL SERVICE PRIMARY,N,{E4204504-C2D1-4A22-9EA7-079100D4A460},,,,
115999.361100003,927319.7546,13,0B5,MONTAQUE,TURNERS FALLS,MAC,PUBLIC OWNED AP,BU-1,1,42 35 30,72 31 25,356,3013,0,75,0,ASPHALT, ,MIRLS, ,N,Y, ,GENERAL AVIATION,N,{33F8194D-5D0D-4049-9EAC-E844AA7D6E46},,,,
178823.850699998,922638.806400001,14,FIT,FITCHBURG,FITCHBURG MUNICIPAL,MAC,PUBLIC OWNED AP,GU-1,2,42 33 15,71 45 33,348,4511,3502,100,150,ASPHALT,ASPHALT,MIRLS,MIRLS,N,Y,N,GENERAL AVIATION,N,{2EB12DC4-E763-42EC-87B8-22A27DF1D692},,,,
63525.2562000006,939700.932,15,2B6,NORTH ADAMS,HARRIMAN & WEST AIRPORT,MAC,PUBLIC OWNED AP,BU-2,1,42 41 45,73 10 15,654,4300,0,100,0,ASPHALT, ,MIRLS, ,N,N, ,GENERAL AVIATION,N,{228D3B23-B666-419E-AF33-70AD1848ECF5},,,DOT_ADMIN,2023/05/22 17:57:20+00
